name,classification,GBS-A_Feb2024,GBS-A_Jun2024,GBS-A_Mar2013,GBS-B_Feb2024,GBS-B_Jun2024,GBS-C_Feb2024,GBS-C_Jun2024,GBS-C_Mar2013,GBS-E_Mar2013,GBS-W_Jun2024,Abundance
Nitrosocaldus yellowstonensis,d__Archaea;p__Thermoproteota;c__Nitrososphaeria;o__Nitrososphaerales;f__Nitrosocaldaceae;g__JBBIQH01;s__,0.1,11,20.9,0.1,0,12.2,51.2,1.1,0.7,9.3,106.6
GBS-W_Jun24_bin.022,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermofilales;f__Thermofilaceae;g__JANXEW01;s__,11.2,0.1,0.1,0.6,0,0.3,0,0,0,9.3,21.6
Caldilinea aerophila,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__Caldilinea;s__Caldilinea aerophila,0,0,0.1,0,0,0.1,0,0,11,8.1,19.4
GBS-B_Feb24_bin.032,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__,5.4,0.4,0,1.2,0.1,0.4,0.1,0.1,0,7.4,15.2
Pyrobaculum sp001189275,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum sp001189275,0.6,0.4,0,0.7,0.6,0.1,0,0.1,0,6.3,8.9
GBS-A_Feb24_bin.044,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,84,0.4,0,3.5,0.2,0.1,0,0,0,6,94.1
Pyrobaculum sp032249215,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum sp032249215,0.5,0.4,0,0.5,0.5,0.1,0,0.1,0,5.4,7.5
GBS-85_Mar13_bin.025,d__Bacteria;p__Aquificota;c__Aquificia;o__Aquificales;f__Aquificaceae;g__Thermocrinis;s__,17.2,13.4,54,23.4,17.8,134.5,36.1,1.3,14.2,5.1,317.1
Rhodococcus_F baikonurensis,d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus_F;s__Rhodococcus_F baikonurensis,0,0,0,0,0,0,0,0,0,5.1,5.1
GBS-C_Feb24_bin.022,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,40.3,4.9,0.4,10.5,4.2,4,0.4,1.3,0,4.6,70.5
GBS-W_Jun24_bin.032,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,2.3,0,0,0.2,0.1,0,0,0,0,4.5,7.2
GBS-W_Jun24_bin.001,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__,2.3,0.3,0,0.7,0.3,0.1,0.1,0.2,0,4.3,8.4
Thermus aquaticus,d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Thermaceae;g__Thermus;s__Thermus aquaticus,0.1,1.9,1.2,0,0,1.6,4,0,2.3,4.3,15.3
GBS-W_Jun24_bin.023,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,0.5,0.1,0,0.1,0,0,0,0,0,4.1,4.9
GBS-W_Jun24_bin.052,d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Geminicoccales;f__Geminicoccaceae;g__JANXAZ01;s__,0,0,0,0,0,0.1,0,0,2.1,4,6.3
GBS70_3300020139_10,d__Bacteria;p__Bacteroidota_A;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Rhodothermus;s__,0,0,12.9,0,0,0.6,0.5,0,7.5,4,25.6
GBS-W_Jun24_bin.034,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__NBVN01;g__DTCV01;s__,14.9,0.2,0,1,0.2,0.2,0,0.1,0,4,20.7
Pyrobaculum sp022759345,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__Pyrobaculum sp022759345,0.4,0.2,0,0.3,0.3,0.1,0,0,0,3.7,5
GBS-A_Feb24_bin.066,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Desulfurococcaceae;g__UBA285;s__,2.7,0.1,0,0.3,0.1,0.1,0,0.1,0,3.3,6.6
GBS-A_Feb24_bin.033,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__,5.7,0.2,0,0.4,0.2,0,0,0.2,0,3.2,9.9
GBS60_3300020153_25,d__Bacteria;p__Bacteroidota_A;c__Rhodothermia;o__Rhodothermales;f__Rhodothermaceae;g__Rhodothermus;s__,0,0,7,0,0,0.5,0.7,0,13.1,3.1,24.5
GBS-A_Feb24_bin.035,d__Archaea;p__Thermoproteota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__,19.2,0.1,0,0.6,0.1,0,0,0,0,3.1,23.1
Thermoflexus hugenholtzii,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Thermoflexales;f__Thermoflexaceae;g__Thermoflexus;s__Thermoflexus hugenholtzii,1.5,109.4,133,32.3,18.9,98.7,195.7,109.6,16.9,2.8,718.8
GBS-W_Jun24_bin.020,d__Archaea;p__Thermoproteota;c__Methanomethylicia;o__Nezhaarchaeales;f__WYZ-LMO8;g__WYZ-LMO8;s__,100.5,1.8,0.1,6.8,0.6,1.4,0.1,0,0,2.8,114.1
GBS-W_Jun24_bin.015,d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Tepidimonas;s__,0,0,0,0,0,0.1,0,0,0,2.6,2.7
GBS-W_Jun24_bin.056,d__Archaea;p__Thermoproteota;c__Thermoprotei_A;o__Sulfolobales;f__Ignisphaeraceae;g__Ignisphaera;s__,3.7,0.9,0,1.3,1,0.4,0.2,0.7,0,2.6,10.8
